Tipo de tarea,Intención,Socioestructura,Nombre de la tarea,Enlace Imagen,Imagen,Vídeo,Descripción de la tarea
Juego de progresión,Progresar / Evitar Progresar,2x2*,2vs2+1 en fondo y miniporterías,https://drive.google.com/file/d/1wsxtVEFku_gXaD0i0svkCkD3tbESMXjV/view?usp=sharing,,https://drive.google.com/file/d/1wVqTNx9eFywc8EHGA1BMZleL_Zq5a9Fp/view?usp=sharing,"Posesión 2vs2 con un apoyo en el fondo para facilitar el objetivo de anotar en miniporterías al primer toque.
El equipo que defiende tiene que intentar tapar la línea de pase con el jugador exterior, acostumbrándose a defender por delante."
Juego de progresión,Progresar / Evitar Progresar,3x3*,3vs3+1 en fondo y miniporterías,https://drive.google.com/file/d/14iV6KBL0CpWwKDJWQR8RTPb8yJ5eV8mi/view?usp=sharing,,https://drive.google.com/file/d/1P2U_1F2Ahfnod3cR5CUbONvca5e7TslK/view?usp=sharing,"Posesión 3vs3 con un apoyo en el fondo para facilitar el objetivo de anotar en miniporterías al primer toque.
El equipo que defiende tiene que intentar tapar la línea de pase con el jugador exterior, acostumbrándose a defender por delante."
Juego de progresión,Progresar / Evitar Progresar,3x3*,3vs3+2 en las espaldas,https://drive.google.com/file/d/1bRmv8GDM_WOo5gQ1qu7PME-OPu6fCZqm/view?usp=sharing,,https://drive.google.com/file/d/125mn2V0Rz30YcnKFvwH-txvJNnfM-pos/view?usp=sharing,"Posesión 3vs3 con 2 jugadores por equipo a la espalda de los defensores en la que se intenta que el equipo que tiene el balón sea capaz de enviar el balón a los jugadores adelantados y ahí dar 5 pases o contactar con el jugador que se incorpora a la zona hacia la que se ha avanzado.
El equipo que no tiene el balón tiene que intentar robarlo en primera instancia y hacer lo mismo o retroceder tras ser superado por el balón y evitar que la progresión sea efectiva."
Juego de progresión,Progresar / Evitar Progresar,3x3*,3vs3 +1y1,https://drive.google.com/file/d/18xBujUgXdnd6SNELKsVeUwlTHbtVkUXk/view?usp=sharing,,https://drive.google.com/file/d/1jZ1ugqdQvTADnOyN5eDFCHmQ28EYrlN0/view?usp=sharing,"Juego de progresión en 3vs3 con un comodín y un jugador extra de cada equipo esperando en la siguiente zona para que se avance ahí.
Una vez se logre eso, hay que conservar la pelota durante 10"" para que puntúe el equipo que lo consiga. A partir de ahí, se reinicia la jugada en la zona central.
Si el equipo defensor roba la pelota, intenta hacer lo mismo, partiendo desde la zona en la que haya hecho el robo."
Juego de progresión,Progresar / Evitar Progresar,3x3*,3vs3 +3 para conquistar zona y continuar,https://drive.google.com/file/d/1RwLf6hmVd9-WXwTw2SlWGn-IUtYeN-SO/view?usp=sharing,,https://drive.google.com/file/d/1PYpUTw-fj6fIGxDVs8R3E38udFsXqBZE/view?usp=sharing,"Juego de progresión en el que 3 jugadores intentan conquistar una zona a la espalda del equipo defensor (1 punto).
Si consiguen darle continuidad a la jugada tras ello, anotan otro punto.
Para ello, cuentan con la ayuda de 3 jugadores que intentan ocupar zonas exteriores y la zona más retrasada del equipo.
*Si la superioridad es muy grande, se puede obligar a los comodines a jugar a un toque o prohibir que jueguen entre ellos."
Juego de conservación,Mantener / Evitar Mantener,2x2*,2vs2+2 con carriles,https://drive.google.com/file/d/1TqWtpEnO6XXx0U21hQBc26C6Wz4h62Hd/view?usp=sharing,,https://drive.google.com/file/d/1RIS4ifmxoFxmK5juYU5_5UC4HxxjN2RE/view?usp=sharing,"Juego de ubicación en el que dos jugadores ofensivos, sitaudos en los carriles de un rectángulo, intentan mantener el balón con la ayuda de dos comodines que intercambian su posición en el fondo y en el interior del rectángulo ante la oposición de dos jugadores.
Cuando se produce el robo, se intercambian las posiciones."
Juego de conservación,Mantener / Evitar Mantener,2x2*,Posesiones posicionales 2vs2 +1,https://drive.google.com/file/d/13T-LPRWEX-tU874dDeuBYMJUDad8XBB7/view?usp=sharing,,https://drive.google.com/file/d/1zlgFmSrLjEz8K077NOsOYXG1tp01vMcJ/view?usp=sharing,Posesiones en espacio reducido en las que se reproducen las relaciones que se pueden dar en momentos del juego siguiendo las zonas de ocupación de los jugadores involucrados.
Juego de conservación,Mantener / Evitar Mantener,2x2*,Juegos de ubicación 2vs2 con comodines compartidos,https://drive.google.com/file/d/1nVWF7DYOjr7kia_cLVDHaFwWe0sdNvu2/view?usp=sharing,,https://drive.google.com/file/d/1ut-XSIl_jzxDD9krYmJNuEOxMu608_h-/view?usp=sharing,"Juego de ubicación en 2vs2 con comodines compartidos entre los dos grupos.
El comodín que se encuentra entre ambos espacios de juego atenderá a unos o a otros en función de las demandas que interprete."
Juego de conservación,Mantener / Evitar Mantener,3x3*,Posesiones posicionales 3vs3 +1,https://drive.google.com/file/d/1Atd8l3jjMzWO3vmqCs9ZDCI_Bg8J9ZOg/view?usp=sharing,,https://drive.google.com/file/d/1k1IbfJxS6rEAmALKvb3Fwg_c5VVSfvEU/view?usp=sharing,"Posesiones en espacio reducido en las que se reproducen las relaciones que se pueden dar en momentos del juego siguiendo las zonas de ocupación de los jugadores involucrados.
El equipo que tiene la superioridad tiene que intentar conquistar la espalda del equipo contrario y después seguir manteniendo la posesión del balón.
El equipo que juega en inferioridad tiene que intentar robar y anotar en la miniportería."
Juego de conservación,Mantener / Evitar Mantener,3x3*,3vs3+3 ,https://drive.google.com/file/d/19rAX-KpUGOr288HfhYhrABTLer46CJSO/view?usp=sharing,,https://drive.google.com/file/d/1WJFU0c7SiEQooRQH8c4UUjIktwUsnFMi/view?usp=sharing,Posesión 3vs3 con apoyos en las bases y en el centro en la que el objetivo es conseguir llevar el balón de una base a la otra (cosa que no pueden hacer los comodines). *Como variante los comodines jugarán a un toque.
